id,name,positionItem,position,start,end,dob,dod,gender
Q174662,Mary Mcaleese,,President,2000,2000,1951,,female
Q154550,Bertie Ahern,,Prime Minister,2000,2000,1951,,male
Q467625,Mary Harney,,Dep. Prime Minister,2000,2000,1953,,female
Q1691642,Joseph Walsh,,"Min. For Agriculture, Food & Forestry",2000,2000,1943,2014,male
Q436181,Sile De Valera,Q6865747,"Min. For Arts, Culture & The Gaeltacht",2000,2000,1954,,female
Q1929419,Michael Smith,,Min. For Defense,2000,2000,1940,,male
Q995633,Michael Woods,,"Min. For Education, Science & Technology",2000,2000,1935,,male
Q467625,Mary Harney,,Min. For Enterprise & Employment,2000,2000,1953,,female
Q380312,Noel Dempsey,,Min. For Environment & Rural Development,2000,2000,1953,,male
Q303304,Charles Mccreevy,,Min. For Finance,2000,2000,1949,,male
Q185272,Brian Cowen,,Min. For Foreign Affairs,2000,2000,1960,,male
Q920403,Micheal Martin,,Min. For Health & Children,2000,2000,1960,,male
Q981985,John O'Donoghue,,"Min. For Justice, Equality & Law Reform",2000,2000,1956,,male
Q1443220,Frank Fahey,,Min. For Marine & Natural Resources,2000,2000,1951,,male
Q974143,Dermot Ahern,,"Min. For Social, Community & Family Affairs",2000,2000,1955,,male
Q1689151,Jim Mcdaid,,Min. For Tourism & Trade,2000,2000,1949,,male
Q540847,Mary O'Rourke,,"Min. For Transport, Energy & Communications",2000,2000,1937,,female
Q1928579,Michael Mcdowell,,Attorney General,2000,2000,1951,,male
Q6793385,Maurice O'Connell,Q109484048,"Governor, Central Bank Of Ireland",2000,2000,1936,,male
,Sean O'Huiginn,Q112206295,Ambassador To The Us,2000,2000,1944,,male
Q2150485,Richard Ryan,Q112206299,"Permanent Representative To The Un, New York",2000,2000,1946,,male
Q174662,Mary Mcaleese,,President,2001,2001,1951,,female
Q154550,Bertie Ahern,,Prime Minister,2001,2001,1951,,male
Q467625,Mary Harney,,Dep. Prime Minister,2001,2001,1953,,female
Q1691642,Joseph Walsh,,"Min. For Agriculture, Food & Forestry",2001,2001,1943,2014,male
Q436181,Sile De Valera,Q6865747,"Min. For Arts, Culture & The Gaeltacht",2001,2001,1954,,female
Q1929419,Michael Smith,,Min. For Defense,2001,2001,1940,,male
Q995633,Michael Woods,,"Min. For Education, Science & Technology",2001,2001,1935,,male
Q467625,Mary Harney,,Min. For Enterprise & Employment,2001,2001,1953,,female
Q380312,Noel Dempsey,,Min. For Environment & Rural Development,2001,2001,1953,,male
Q303304,Charles Mccreevy,,Min. For Finance,2001,2001,1949,,male
Q185272,Brian Cowen,,Min. For Foreign Affairs,2001,2001,1960,,male
Q920403,Micheal Martin,,Min. For Health & Children,2001,2001,1960,,male
Q981985,John O'Donoghue,,"Min. For Justice, Equality & Law Reform",2001,2001,1956,,male
Q1443220,Frank Fahey,,Min. For Marine & Natural Resources,2001,2001,1951,,male
Q974143,Dermot Ahern,,"Min. For Social, Community & Family Affairs",2001,2001,1955,,male
Q1689151,Jim Mcdaid,,Min. For Tourism & Trade,2001,2001,1949,,male
Q540847,Mary O'Rourke,,"Min. For Transport, Energy & Communications",2001,2001,1937,,female
Q1928579,Michael Mcdowell,,Attorney General,2001,2001,1951,,male
Q6793385,Maurice O'Connell,Q109484048,"Governor, Central Bank Of Ireland",2001,2001,1936,,male
,Sean O'Huiginn,Q112206295,Ambassador To The Us,2001,2001,1944,,male
Q2150485,Richard Ryan,Q112206299,"Permanent Representative To The Un, New York",2001,2001,1946,,male
Q174662,Mary Mcaleese,,President,2002,2002,1951,,female
Q154550,Bertie Ahern,,Prime Minister,2002,2002,1951,,male
Q467625,Mary Harney,,Dep. Prime Minister,2002,2002,1953,,female
Q1691642,Joseph Walsh,,Min. For Agriculture & Food,2002,2002,1943,2014,male
Q981985,John O'Donoghue,,"Min. For Arts, Sport & Tourism",2002,2002,1956,,male
Q974143,Dermot Ahern,,"Min. For Communications, Marine & Natural Resources",2002,2002,1955,,male
Q273274,Eamon O'Cuiv,,"Min. For Community, Rural & Gaeltacht Affairs",2002,2002,1950,,male
Q1929419,Michael Smith,,Min. For Defense,2002,2002,1940,,male
Q380312,Noel Dempsey,,Min. For Education & Science,2002,2002,1953,,male
Q467625,Mary Harney,,"Min. For Enterprise, Trade & Employment",2002,2002,1953,,female
Q1903595,Martin Cullen,,Min. For Environment & Local Government,2002,2002,1954,,male
Q303304,Charles Mccreevy,,Min. For Finance,2002,2002,1949,,male
Q185272,Brian Cowen,,Min. For Foreign Affairs,2002,2002,1960,,male
Q920403,Micheal Martin,,Min. For Health & Children,2002,2002,1960,,male
Q1928579,Michael Mcdowell,,"Min. For Justice, Equality & Law Reform",2002,2002,1951,,male
Q444705,Mary Coughlan,,Min. For Social & Family Affairs,2002,2002,1965,,female
Q1655204,Seamus Brennan,,Min. For Transport,2002,2002,1948,2008,male
Q7366858,Rory Brady,,Attorney General,2002,2002,1957,2010,male
Q6793385,Maurice O'Connell,Q109484048,"Governor, Central Bank Of Ireland",2002,2002,1936,,male
,Sean O'Huiginn,Q112206295,Ambassador To The Us,2002,2002,1944,,male
Q2150485,Richard Ryan,Q112206299,"Permanent Representative To The Un, New York",2002,2002,1946,,male
Q174662,Mary Mcaleese,,President,2003,2003,1951,,female
Q154550,Bertie Ahern,,Prime Minister,2003,2003,1951,,male
Q467625,Mary Harney,,Dep. Prime Minister,2003,2003,1953,,female
Q1691642,Joseph Walsh,,Min. For Agriculture & Food,2003,2003,1943,2014,male
Q981985,John O'Donoghue,,"Min. For Arts, Sport & Tourism",2003,2003,1956,,male
Q974143,Dermot Ahern,,"Min. For Communications, Marine & Natural Resources",2003,2003,1955,,male
Q273274,Eamon O'Cuiv,,"Min. For Community, Rural & Gaeltacht Affairs",2003,2003,1950,,male
Q1929419,Michael Smith,,Min. For Defense,2003,2003,1940,,male
Q380312,Noel Dempsey,,Min. For Education & Science,2003,2003,1953,,male
Q467625,Mary Harney,,"Min. For Enterprise, Trade & Employment",2003,2003,1953,,female
Q1903595,Martin Cullen,,Min. For Environment & Local Government,2003,2003,1954,,male
Q303304,Charles Mccreevy,,Min. For Finance,2003,2003,1949,,male
Q185272,Brian Cowen,,Min. For Foreign Affairs,2003,2003,1960,,male
Q920403,Micheal Martin,,Min. For Health & Children,2003,2003,1960,,male
Q1928579,Michael Mcdowell,,"Min. For Justice, Equality & Law Reform",2003,2003,1951,,male
Q444705,Mary Coughlan,,Min. For Social & Family Affairs,2003,2003,1965,,female
Q1655204,Seamus Brennan,,Min. For Transport,2003,2003,1948,2008,male
Q7366858,Rory Brady,,Attorney General,2003,2003,1957,2010,male
Q6793385,Maurice O'Connell,Q109484048,"Governor, Central Bank Of Ireland",2003,2003,1936,,male
,Noel Fahey,Q112206295,Ambassador To The Us,2003,2003,,,male
Q2150485,Richard Ryan,Q112206299,"Permanent Representative To The Un, New York",2003,2003,1946,,male
Q174662,Mary Mcaleese,,President,2004,2004,1951,,female
Q154550,Bertie Ahern,,Prime Minister,2004,2004,1951,,male
Q467625,Mary Harney,,Dep. Prime Minister,2004,2004,1953,,female
Q1691642,Joseph Walsh,,Min. For Agriculture & Food,2004,2004,1943,2014,male
Q981985,John O'Donoghue,,"Min. For Arts, Sport & Tourism",2004,2004,1956,,male
Q974143,Dermot Ahern,,"Min. For Communications, Marine & Natural Resources",2004,2004,1955,,male
Q273274,Eamon O'Cuiv,,"Min. For Community, Rural & Gaeltacht Affairs",2004,2004,1950,,male
Q1929419,Michael Smith,,Min. For Defense,2004,2004,1940,,male
Q380312,Noel Dempsey,,Min. For Education & Science,2004,2004,1953,,male
Q467625,Mary Harney,,"Min. For Enterprise, Trade & Employment",2004,2004,1953,,female
Q1903595,Martin Cullen,,Min. For Environment & Local Government,2004,2004,1954,,male
Q303304,Charles Mccreevy,,Min. For Finance,2004,2004,1949,,male
Q185272,Brian Cowen,,Min. For Foreign Affairs,2004,2004,1960,,male
Q920403,Micheal Martin,,Min. For Health & Children,2004,2004,1960,,male
Q1928579,Michael Mcdowell,,"Min. For Justice, Equality & Law Reform",2004,2004,1951,,male
Q444705,Mary Coughlan,,Min. For Social & Family Affairs,2004,2004,1965,,female
Q1655204,Seamus Brennan,,Min. For Transport,2004,2004,1948,2008,male
Q7366858,Rory Brady,,Attorney General,2004,2004,1957,2010,male
Q6793385,Maurice O'Connell,Q109484048,"Governor, Central Bank Of Ireland",2004,2004,1936,,male
,Noel Fahey,Q112206295,Ambassador To The Us,2004,2004,,,male
Q2150485,Richard Ryan,Q112206299,"Permanent Representative To The Un, New York",2004,2004,1946,,male
Q174662,Mary Mcaleese,,President,2005,2005,1951,,female
Q154550,Bertie Ahern,,Prime Minister,2005,2005,1951,,male
Q467625,Mary Harney,,Dep. Prime Minister,2005,2005,1953,,female
Q444705,Mary Coughlan,,Min. For Agriculture & Food,2005,2005,1965,,female
Q981985,John O'Donoghue,,"Min. For Arts, Sport & Tourism",2005,2005,1956,,male
Q380312,Noel Dempsey,,"Min. For Communications, Marine & Natural Resources",2005,2005,1953,,male
Q273274,Eamon O'Cuiv,,"Min. For Community, Rural & Gaeltacht Affairs",2005,2005,1950,,male
Q1390670,Willie O'Dea,,Min. For Defense,2005,2005,1952,,male
Q467641,Mary Hanafin,,Min. For Education & Science,2005,2005,1959,,female
Q920403,Micheal Martin,,"Min. For Enterprise, Trade & Employment",2005,2005,1960,,male
Q472742,Dick Roche,,"Min. For Environment, Heritage & Local Government",2005,2005,1947,,male
Q185272,Brian Cowen,,Min. For Finance,2005,2005,1960,,male
Q974143,Dermot Ahern,,Min. For Foreign Affairs,2005,2005,1955,,male
Q467625,Mary Harney,,Min. For Health & Children,2005,2005,1953,,female
Q1928579,Michael Mcdowell,,"Min. For Justice, Equality & Law Reform",2005,2005,1951,,male
Q1655204,Seamus Brennan,,Min. For Social & Family Affairs,2005,2005,1948,2008,male
Q1903595,Martin Cullen,,Min. For Transport,2005,2005,1954,,male
Q7366858,Rory Brady,,Attorney General,2005,2005,1957,2010,male
,John Hurley,Q109484048,"Governor, Central Bank Of Ireland",2005,2005,,,male
,Noel Fahey,Q112206295,Ambassador To The Us,2005,2005,,,male
Q2150485,Richard Ryan,Q112206299,"Permanent Representative To The Un, New York",2005,2005,1946,,male
Q174662,Mary Mcaleese,,President,2006,2006,1951,,female
Q154550,Bertie Ahern,,Prime Minister,2006,2006,1951,,male
Q467625,Mary Harney,,Dep. Prime Minister,2006,2006,1953,,female
Q444705,Mary Coughlan,,Min. For Agriculture & Food,2006,2006,1965,,female
Q981985,John O'Donoghue,,"Min. For Arts, Sport & Tourism",2006,2006,1956,,male
Q380312,Noel Dempsey,,"Min. For Communications, Marine & Natural Resources",2006,2006,1953,,male
Q273274,Eamon O'Cuiv,,"Min. For Community, Rural & Gaeltacht Affairs",2006,2006,1950,,male
Q1390670,Willie O'Dea,,Min. For Defense,2006,2006,1952,,male
Q467641,Mary Hanafin,,Min. For Education & Science,2006,2006,1959,,female
Q920403,Micheal Martin,,"Min. For Enterprise, Trade & Employment",2006,2006,1960,,male
Q472742,Dick Roche,,"Min. For Environment, Heritage & Local Government",2006,2006,1947,,male
Q185272,Brian Cowen,,Min. For Finance,2006,2006,1960,,male
Q974143,Dermot Ahern,,Min. For Foreign Affairs,2006,2006,1955,,male
Q467625,Mary Harney,,Min. For Health & Children,2006,2006,1953,,female
Q1928579,Michael Mcdowell,,"Min. For Justice, Equality & Law Reform",2006,2006,1951,,male
Q1655204,Seamus Brennan,,Min. For Social & Family Affairs,2006,2006,1948,2008,male
Q1903595,Martin Cullen,,Min. For Transport,2006,2006,1954,,male
Q7366858,Rory Brady,,Attorney General,2006,2006,1957,2010,male
,John Hurley,Q109484048,"Governor, Central Bank Of Ireland",2006,2006,,,male
,Noel Fahey,Q112206295,Ambassador To The Us,2006,2006,,,male
Q1174055,David Cooney,Q112206299,"Permanent Representative To The Un, New York",2006,2006,1954,,male
Q174662,Mary Mcaleese,,President,2007,2007,1951,,female
Q154550,Bertie Ahern,,Prime Min.,2007,2007,1951,,male
Q185272,Brian Cowen,,Dep. Prime Minister,2007,2007,1960,,male
Q444705,Mary Coughlan,,"Min. For Agriculture, Fisheries & Food",2007,2007,1965,,female
Q1655204,Seamus Brennan,,"Min. For Arts, Sport & Tourism",2007,2007,1948,2008,male
Q920195,Eamon Ryan,,"Min. For Communications, Energy & Natural Resources",2007,2007,1963,,male
Q273274,Eamon O'Cuiv,,"Min. For Community, Rural & Gaeltacht Affairs",2007,2007,1950,,male
Q1390670,Willie O'Dea,,Min. For Defense,2007,2007,1952,,male
Q467641,Mary Hanafin,,Min. For Education & Science,2007,2007,1959,,female
Q920403,Micheal Martin,,"Min. For Enterprise, Trade & Employment",2007,2007,1960,,male
Q1700253,John Gormley,,"Min. For Environment, Heritage & Local Government",2007,2007,1957,,male
Q185272,Brian Cowen,,Min. For Finance,2007,2007,1960,,male
Q974143,Dermot Ahern,,Min. For Foreign Affairs,2007,2007,1955,,male
Q467625,Mary Harney,,Min. For Health & Children,2007,2007,1953,,female
Q912430,Brian J. Lenihan,,"Min. For Justice, Equality & Law Reform",2007,2007,1959,2011,male
Q1903595,Martin Cullen,,Min. For Social & Family Affairs,2007,2007,1954,,male
Q380312,Noel Dempsey,,Min. For Transport & Marine,2007,2007,1953,,male
Q7150801,Paul Gallagher,,Attorney General,2007,2007,1955,,male
,John Hurley,Q109484048,"Governor, Central Bank Of Ireland",2007,2007,,,male
,Noel Fahey,Q112206295,Ambassador To The Us,2007,2007,,,male
Q1174055,David Cooney,Q112206299,"Permanent Representative To The Un, New York",2007,2007,1954,,male
Q174662,Mary Mcaleese,,President,2008,2008,1951,,female
Q185272,Brian Cowen,,Prime Min.,2008,2008,1960,,male
Q444705,Mary Coughlan,,Dep. Prime Minister,2008,2008,1965,,female
Q466044,Brendan Smith,,"Min. For Agriculture, Fisheries & Food",2008,2008,1956,,male
Q1903595,Martin Cullen,,"Min. For Arts, Sport & Tourism",2008,2008,1954,,male
Q920195,Eamon Ryan,,"Min. For Communications, Energy & Natural Resources",2008,2008,1963,,male
Q273274,Eamon O'Cuiv,,"Min. For Community, Rural & Gaeltacht Affairs",2008,2008,1950,,male
Q1390670,Willie O'Dea,,Min. For Defense,2008,2008,1952,,male
Q472750,Batt O'Keeffe,,Min. For Education & Science,2008,2008,1945,,male
Q444705,Mary Coughlan,,"Min. For Enterprise, Trade & Employment",2008,2008,1965,,female
Q1700253,John Gormley,,"Min. For Environment, Heritage & Local Government",2008,2008,1957,,male
Q912430,Brian J. Lenihan,,Min. For Finance,2008,2008,1959,2011,male
Q920403,Micheal Martin,,Min. For Foreign Affairs,2008,2008,1960,,male
Q467625,Mary Harney,,Min. For Health & Children,2008,2008,1953,,female
Q974143,Dermot Ahern,,"Min. For Justice, Equality & Law Reform",2008,2008,1955,,male
Q467641,Mary Hanafin,,Min. For Social & Family Affairs,2008,2008,1959,,female
Q380312,Noel Dempsey,,Min. For Transport & Marine,2008,2008,1953,,male
Q7150801,Paul Gallagher,,Attorney General,2008,2008,1955,,male
,John Hurley,Q109484048,"Governor, Central Bank Of Ireland",2008,2008,,,male
Q23006319,Michael Collins,Q112206295,Ambassador To The Us,2008,2008,1953,,male
Q1657148,John Paul Kavanagh,Q112206299,"Permanent Representative To The Un, New York",2008,2008,1956,,male
Q174662,Mary Mcaleese,,President,2009,2009,1951,,female
Q185272,Brian Cowen,,Prime Min.,2009,2009,1960,,male
Q444705,Mary Coughlan,,Dep. Prime Minister,2009,2009,1965,,female
Q466044,Brendan Smith,,"Min. For Agriculture, Fisheries & Food",2009,2009,1956,,male
Q1903595,Martin Cullen,,"Min. For Arts, Sport & Tourism",2009,2009,1954,,male
Q920195,Eamon Ryan,,"Min. For Communications, Energy & Natural Resources",2009,2009,1963,,male
Q273274,Eamon O'Cuiv,,"Min. For Community, Rural & Gaeltacht Affairs",2009,2009,1950,,male
Q1390670,Willie O'Dea,,Min. For Defense,2009,2009,1952,,male
Q472750,Batt O'Keeffe,,Min. For Education & Science,2009,2009,1945,,male
Q444705,Mary Coughlan,,"Min. For Enterprise, Trade & Employment",2009,2009,1965,,female
Q1700253,John Gormley,,"Min. For Environment, Heritage & Local Government",2009,2009,1957,,male
Q912430,Brian J. Lenihan,,Min. For Finance,2009,2009,1959,2011,male
Q920403,Micheal Martin,,Min. For Foreign Affairs,2009,2009,1960,,male
Q467625,Mary Harney,,Min. For Health & Children,2009,2009,1953,,female
Q974143,Dermot Ahern,,"Min. For Justice, Equality & Law Reform",2009,2009,1955,,male
Q467641,Mary Hanafin,,Min. For Social & Family Affairs,2009,2009,1959,,female
Q380312,Noel Dempsey,,Min. For Transport & Marine,2009,2009,1953,,male
Q7150801,Paul Gallagher,,Attorney General,2009,2009,1955,,male
